VUT,Vanuatu,140,113,92,76,72,,,
VEN,Venezuela (Bolivarian Republic of),119,113,117,115,125,,,
VNM,Viet Nam,68,54,47,45,43,,,
YEM,Yemen,301,242,192,169,164,,,
ZMB,Zambia,528,421,305,232,213,,,
ZWE,Zimbabwe,579,685,598,480,458,,,
,,,,,,,,,
,,,,,,,,,
,UNICEF Regions,2000,2005,2010,2015,2017,,,
,East Asia and the Pacific,114,100,86,73,69,,,
,Europe and Central Asia,27,22,17,14,13,,,
,Eastern Europe and Central Asia,45,36,26,20,19,,,-
,Western Europe,8,7,6,6,5,,,
,Latin America and Caribbean,96,91,85,77,74,,,
,Middle East and North Africa,95,81,63,59,57,,,
,North America,12,13,14,17,18,,,
,South Asia,395,309,235,179,163,,,
,Sub-Saharan Africa,870,746,626,557,533,,,
,Eastern and Southern Africa,780,645,494,406,384,,,
,West and Central Africa,962,847,755,699,674,,,
,Least developed countries,763,635,520,442,415,,,
,World,342,296,248,219,211,,,
,,,,,,,,,
